variant,cost_bps,n_periods,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,hit_rate,mean_turnover,mean_gross_exposure
equal_weight,0,677,8.440769165722775,0.1882006453092575,0.31040992701194803,0.6062971217476993,-0.6277087408076251,0.5465288035450517,0.30428360413589367,2.0
equal_weight,5,677,6.688108776351836,0.16960526110867313,0.31037433101634154,0.5464538918321284,-0.6349850989486494,0.5465288035450517,0.30428360413589367,2.0
equal_weight,10,677,5.260266033285796,0.15129298056372287,0.31034553300334067,0.48749849594933364,-0.6421223467913117,0.5435745937961596,0.30428360413589367,2.0
equal_weight,20,677,3.149756009699934,0.1155010290649594,0.31030833804898295,0.3722137464663527,-0.6622849128718333,0.5376661742983752,0.30428360413589367,2.0
equal_weight,50,677,0.20607680842538678,0.014496064677293807,0.3103600095464651,0.046707256835302906,-0.7242050218216352,0.5199409158050221,0.30428360413589367,2.0
inverse_vol,0,677,13.795952438621411,0.22992332746060762,0.28136350931561693,0.8171753615807131,-0.5219639610759664,0.5657311669128509,0.30428360413589367,2.0
inverse_vol,5,677,11.050479974917145,0.21068553326446815,0.28133851969876567,0.7488684218927896,-0.531274817669437,0.5612998522895125,0.30428360413589367,2.0
inverse_vol,10,677,8.81356724566885,0.19174045532087347,0.28132103172922146,0.6815717052588818,-0.540408289434037,0.5568685376661743,0.30428360413589367,2.0
inverse_vol,20,677,5.506617532677748,0.15471118999486433,0.2813085657281298,0.5499697088654766,-0.55833771813246,0.5494830132939439,0.30428360413589367,2.0
inverse_vol,50,677,0.8923597920398354,0.05021085708381978,0.2814512291120196,0.17839985009919962,-0.6304573863569491,0.5228951255539144,0.30428360413589367,2.0
