feature_group,model,turnover,n_folds,mean_oos_r2,mean_ic,mean_icir,mean_coverage_pct,mean_top_bottom_spread
price_only,baseline,0.31610044313146235,6,-198.16603272419215,0.029884815283045364,0.06677484612327107,100.0,0.004259205740822448
price_only,ols,0.3257016248153619,6,0.0019538044814506237,0.05457227138643068,0.11772749401937589,100.0,0.004177782237037411
price_only,ridge,0.3249630723781389,6,0.001955068060271644,0.05474785784520298,0.1179048166601369,100.0,0.004174717294922727
price_only,elastic_net,0.27474150664697194,6,0.002574622157796358,0.056890012642225034,0.1224393388807569,100.0,0.004686828976492789
price_only,lightgbm,0.3685376661742984,6,-0.012194815666904705,0.03747954911231891,0.08773014865263591,100.0,0.004292430348560738
fundamentals_only,baseline,0.07311669128508123,6,-1552229991.996442,0.012255934822306512,0.026995606960186002,100.0,0.002043420542180436
fundamentals_only,ols,0.050221565731166914,6,-26295.003179503998,-0.0043545441775530245,-0.017461402033677013,100.0,-0.00019737389277247588
fundamentals_only,ridge,0.050221565731166914,6,-26285.598419805017,-0.004319426885798565,-0.0174027955478391,100.0,-0.00019737389277247588
fundamentals_only,elastic_net,0.024372230428360415,6,-5626.992887594758,-0.018991264205190636,-0.053318577088386145,100.0,-0.0005352108114352636
fundamentals_only,lightgbm,0.19423929098966028,6,-0.04272265405937562,0.014445176268078763,0.038288440828474705,100.0,0.0014091163217772099
combined,baseline,0.21639586410635156,6,-275204542.35674655,0.046003652198342466,0.10311580326390547,100.0,0.004698566942316142
combined,ols,0.1935007385524372,6,-23847.391275888862,0.00495153813737884,0.01397883366319723,100.0,0.0009659801885751089
combined,ridge,0.1935007385524372,6,-23837.514606227895,0.004811068970361005,0.013748853839258198,100.0,0.0009269107342206078
combined,elastic_net,0.24519940915805022,6,-5182.900425345099,0.055871611181345704,0.13317374120715064,100.0,0.00443347992810079
combined,lightgbm,0.3397341211225997,6,-0.023700637269418828,0.010776199464035898,0.023807287652111236,100.0,0.0014628777234114794
