fold,test_start,test_end,n_test,mean_ic,oos_r2
0,2013-09-06,2015-10-30,904,0.045512010113780026,0.002607361328458291
1,2015-11-06,2017-12-29,904,0.036241045090602615,-0.0001713761630595112
2,2018-01-05,2020-02-28,904,0.0929203539823009,0.0017760662403242256
3,2020-03-06,2022-04-29,904,0.03539823008849557,-0.003519409599529011
4,2022-05-06,2024-06-28,904,0.07395701643489257,0.009184702692274671
5,2024-07-05,2026-08-28,904,0.04445849136114623,0.0018530638631611973
