research_date,n_long,n_short,long_return,short_return,portfolio_return,turnover,gross_exposure
2013-09-06,2,2,-0.0373630197700095,0.011042994866089749,-0.04840601463609925,,2.0
2013-09-13,2,2,0.03982257773008355,-0.00503923830002565,0.0448618160301092,0.5,2.0
2013-09-20,2,2,-0.0059083996415634,-0.02317686880120555,0.01726846915964215,0.5,2.0
2013-09-27,2,2,-0.0025928102991315503,0.00534842161332985,-0.007941231912461402,0.5,2.0
2013-10-04,2,2,0.0280474449117683,0.0270250119084214,0.0010224330033469023,0.25,2.0
2013-10-11,2,2,0.02866882979695875,0.01979703343465715,0.0088717963623016,0.25,2.0
2013-10-18,2,2,0.021411440488283848,-0.0136653626291743,0.035076803117458144,0.25,2.0
2013-10-25,2,2,-0.0157738478453439,0.0022013627548740002,-0.0179752106002179,0.25,2.0
2013-11-01,2,2,0.0185226338287559,0.0113278350738448,0.007194798754911101,0.25,2.0
2013-11-08,2,2,0.0024634913777091,-0.00513446981506915,0.00759796119277825,0.25,2.0
2013-11-15,2,2,0.014677224386257551,0.027724936754447,-0.013047712368189449,0.25,2.0
2013-11-22,2,2,0.04806420174109755,-0.0155313039750034,0.06359550571610095,0.25,2.0
2013-11-29,2,2,-0.0047393072800524,-0.00343367615562745,-0.0013056311244249497,0.5,2.0
2013-12-06,2,2,-0.0134711544881134,-0.039761600992549495,0.026290446504436096,0.5,2.0
2013-12-13,2,2,0.03589241562609785,0.019740685884152398,0.016151729741945453,0.25,2.0
2013-12-20,2,2,-0.002689491106598549,-0.0003303322472148003,-0.0023591588593837487,0.25,2.0
2013-12-27,2,2,-0.00773411009393415,-0.0010194308440614492,-0.006714679249872701,0.5,2.0
2014-01-03,2,2,-0.013106763448360051,0.00256313362484885,-0.0156698970732089,0.5,2.0
2014-01-10,2,2,0.03491112156958425,0.00244612778900715,0.0324649937805771,0.25,2.0
2014-01-17,2,2,-0.04647906940917005,-0.0117689053011178,-0.03471016410805225,0.5,2.0
2014-01-24,2,2,-0.006108865294389001,-0.013507569480489801,0.0073987041861008004,0.5,2.0
2014-01-31,2,2,0.04441319178972985,0.0228002256671411,0.02161296612258875,0.25,2.0
2014-02-07,2,2,0.02830472383921775,0.0011613071119466502,0.0271434167272711,0.25,2.0
2014-02-14,2,2,-0.03505664561926295,0.02363350413270575,-0.0586901497519687,0.75,2.0
2014-02-21,2,2,0.00544808721054205,-0.019083234222823,0.02453132143336505,0.25,2.0
2014-02-28,2,2,-0.0024738490477404,0.01727309805822605,-0.019746947105966448,0.5,2.0
2014-03-07,2,2,-0.0113990580207197,-0.011113871740843651,-0.0002851862798760492,0.25,2.0
