factor,raw_mean_ic,standardized_imputed_mean_ic
realized_vol_60d,0.0537737456342107,0.05377374563421075
adv_20d,0.047301869237926,0.04730186923792608
realized_vol_20d,0.041740674955595,0.04174067495559503
downside_vol_20d,0.031675547661338,0.03167554766133807
momentum_12_1,0.0305238978708366,0.030523897870836654
