research_date,n_long,n_short,long_return,short_return,portfolio_return,turnover,gross_exposure
2013-09-06,2,2,-0.050232718637401794,0.01154052247738132,-0.06177324111478311,,2.0
2013-09-13,2,2,0.023840519546102997,-0.004512281488881948,0.028352801034984946,0.5,2.0
2013-09-20,2,2,-0.00824612130261401,-0.023479536954959142,0.015233415652345131,0.5,2.0
2013-09-27,2,2,-0.01552780459376396,0.0057827817151976735,-0.021310586308961633,0.5,2.0
2013-10-04,2,2,0.03352060096164615,0.030207907837026128,0.003312693124620021,0.25,2.0
2013-10-11,2,2,0.02224697357160841,0.019652613483346678,0.0025943600882617317,0.25,2.0
2013-10-18,2,2,0.022455368587276703,-0.015035830224318513,0.03749119881159522,0.25,2.0
2013-10-25,2,2,-0.016311930328908448,0.002053832113989652,-0.0183657624428981,0.25,2.0
2013-11-01,2,2,0.013253452770653144,0.011137277607818971,0.002116175162834173,0.25,2.0
2013-11-08,2,2,0.0016676027937395956,-0.002588217652878245,0.00425582044661784,0.25,2.0
2013-11-15,2,2,0.013585422227739036,0.025248197318344906,-0.01166277509060587,0.25,2.0
2013-11-22,2,2,0.05843631312104755,-0.016297248003568715,0.07473356112461627,0.25,2.0
2013-11-29,2,2,0.007371019852306688,-0.0035452651979821113,0.010916285050288799,0.5,2.0
2013-12-06,2,2,-0.014056958477821851,-0.037873413304274656,0.023816454826452803,0.5,2.0
2013-12-13,2,2,0.03514662421616767,0.018254593335384456,0.016892030880783213,0.25,2.0
2013-12-20,2,2,0.0012570171530849744,-0.0005858883450936478,0.0018429054981786222,0.25,2.0
2013-12-27,2,2,-0.006841853006128707,0.002377523888309925,-0.009219376894438632,0.5,2.0
2014-01-03,2,2,-0.01300778537159282,0.004273136114322356,-0.017280921485915174,0.5,2.0
2014-01-10,2,2,0.03452977675131995,0.0022711030423412425,0.032258673708978704,0.25,2.0
2014-01-17,2,2,-0.03156012425707853,-0.016220969439988225,-0.015339154817090302,0.5,2.0
2014-01-24,2,2,-0.00724331055653924,-0.019138451280477857,0.011895140723938616,0.5,2.0
2014-01-31,2,2,0.04198411622373223,0.026434959814844384,0.015549156408887845,0.25,2.0
2014-02-07,2,2,0.02790840513356441,-0.00277873660915366,0.03068714174271807,0.25,2.0
